arquivo,slug,camel,categoria,decisao,uso
Single-Neutral-Actions-Laptop--Streamline-Ultimate.svg,user-laptop,userLaptop,generico,new,
Single-Neutral-Actions-Location--Streamline-Ultimate.svg,user-location,userLocation,generico,new,
Single-Neutral-Actions-Lock--Streamline-Ultimate.svg,user-lock,userLock,generico,new,
Single-Neutral-Actions-Mail--Streamline-Ultimate.svg,user-mail,userMail,generico,new,
Single-Neutral-Actions-Mobilephone--Streamline-Ultimate.svg,user-mobile,userMobile,generico,new,
Single-Neutral-Actions-Money--Streamline-Ultimate.svg,user-money,userMoney,generico,new,
Single-Neutral-Actions-Monitor--Streamline-Ultimate.svg,user-monitor,userMonitor,generico,new,
Single-Neutral-Actions-Music--Streamline-Ultimate.svg,user-music,userMusic,generico,new,
Single-Neutral-Actions-Player--Streamline-Ultimate.svg,user-player,userPlayer,generico,new,
Single-Neutral-Actions-Question--Streamline-Ultimate.svg,user-question,userQuestion,generico,new,
Single-Neutral-Actions-Refresh--Streamline-Ultimate.svg,user-refresh,userRefresh,generico,new,
Single-Neutral-Actions-Remove--Streamline-Ultimate.svg,user-remove,userRemove,generico,new,
Single-Neutral-Actions-Setting--Streamline-Ultimate.svg,user-setting,userSetting,generico,new,
Single-Neutral-Actions-Share-1--Streamline-Ultimate.svg,user-share-1,userShare1,generico,new,
Single-Neutral-Actions-Share-2--Streamline-Ultimate.svg,user-share-2,userShare2,generico,new,
Single-Neutral-Actions-Shield--Streamline-Ultimate.svg,user-shield,userShield,generico,new,
Single-Neutral-Actions-Star--Streamline-Ultimate.svg,user-star,userStar,generico,new,
Single-Neutral-Actions-Subtract--Streamline-Ultimate.svg,user-subtract,userSubtract,generico,new,
Single-Neutral-Actions-Sync--Streamline-Ultimate.svg,user-sync,userSync,generico,new,
Single-Neutral-Actions-Text--Streamline-Ultimate.svg,user-text,userText,generico,new,
Single-Neutral-Actions-Time--Streamline-Ultimate.svg,user-time,userTime,generico,new,
Single-Neutral-Actions-Up-Down--Streamline-Ultimate.svg,user-up-down,userUpDown,generico,new,
Single-Neutral-Actions-Upload--Streamline-Ultimate.svg,user-upload,userUpload,generico,new,
Single-Neutral-Actions-Video--Streamline-Ultimate.svg,user-video,userVideo,generico,new,
Single-Neutral-Actions-View--Streamline-Ultimate.svg,user-view,userView,generico,new,
Single-Neutral-Actions-Warning--Streamline-Ultimate.svg,user-warning,userWarning,generico,new,
Single-Neutral-Actions-Wifi--Streamline-Ultimate.svg,user-wifi,userWifi,generico,new,
Single-Neutral-Focus--Streamline-Ultimate.svg,user-focus,userFocus,pessoas,new,Usuário em foco
Single-Neutral-Id-Card-1--Streamline-Ultimate.svg,driver-id,driverId,pessoas,new,ID do motorista; junto de driver
Single-Neutral-Id-Card-3--Streamline-Ultimate.svg,id-card,idCard,pessoas,new,Documento/ID
Slack-Logo--Streamline-Ultimate.svg,slack-logo,slackLogo,generico,new,
Slider-Horizontal-Alternative--Streamline-Ultimate.svg,slider-horizontal,sliderHorizontal,generico,new,Slider horizontal
Slider-Vertical-Alternative--Streamline-Ultimate.svg,slider-vertical,sliderVertical,generico,new,Slider vertical
Small-Office-Tall-Building--Streamline-Ultimate.svg,office-building,officeBuilding,generico,new,Prédio comercial
Smart-Tv-And-Phone--Streamline-Ultimate.svg,smart-tv-and-phone,smartTvAndPhone,generico,new,
